SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532525,BANK MAHA   ,B ,Q,15.60,16.75,15.45,16.50,16.50,15.70,518,220018,3561255.00,
532527,RK FORGINGS ,B ,Q,454.05,475.00,453.05,453.60,453.10,454.85,77,602,275264.00,
532528,DATAM GLOB  ,B ,Q,99.30,102.65,98.70,102.05,102.05,100.95,133,7680,775453.00,
532529,NDTV        ,B ,Q,34.90,34.90,34.30,34.85,34.90,34.65,21,6336,219292.00,
532531,STAR        ,A ,Q,429.00,432.00,423.05,430.50,430.50,428.80,941,62215,26617854.00,
532532,JAIPRA      ,A ,Q,4.32,4.32,4.03,4.10,4.10,4.20,113816,827112,3394144.00,
532538,ULTRATECH CM,A ,Q,4616.00,4630.50,4575.00,4579.70,4579.70,4600.65,1196,17157,78888289.00,
532539,MINDA IND   ,A ,Q,333.90,336.00,330.05,332.20,330.10,333.35,291,6526,2182921.00,
532540,TCS LTD.    ,A ,Q,2237.90,2263.00,2233.00,2252.85,2252.85,2231.10,7323,121513,273578399.00,
532541,NIITTECH    ,A ,Q,1336.15,1349.95,1333.00,1338.45,1338.45,1335.95,458,6574,8824142.00,
532543,GULFPETRO   ,B ,Q,56.40,56.85,55.00,55.30,55.15,56.00,27,1746,96779.00,
532548,CENTURYPLY  ,A ,Q,165.00,165.00,161.50,162.90,163.25,166.60,147,3553,579013.00,
532553,WELENT      ,B ,Q,126.10,133.90,125.60,133.05,133.70,127.25,440,29448,3853154.00,
532555,NTPC LTD    ,A ,Q,135.90,136.50,133.80,135.25,135.25,134.95,650,116879,15801034.00,
532604,SALSTEEL    ,B ,Q,4.11,4.34,4.01,4.02,4.02,4.05,20,8000,33003.00,
532605,JBM AUTO    ,B ,Q,250.00,250.00,243.90,247.65,245.20,251.75,39,480,118665.00,
532610,DWAR SUGAR  ,B ,Q,27.35,27.75,26.70,27.35,27.50,27.40,180,51337,1394605.00,
532612,INDOCO REM  ,B ,Q,171.50,173.00,167.00,168.45,168.45,172.40,235,4430,746882.00,
532613,VIPCLOTHNG  ,B ,Q,15.65,15.95,14.95,15.00,15.00,15.65,175,18372,280504.00,
532616,XCHANGING   ,B ,Q,45.55,46.00,45.50,45.50,45.50,45.50,15,4090,186813.00,
532617,JETAIRWAYS  ,A ,Q,112.70,116.70,107.15,111.95,111.95,125.20,15453,1809621,203354303.00,
532622,GATEWAY DIST,A ,Q,134.35,139.95,134.10,137.20,137.20,135.00,347,266840,36553011.00,
532624,JINDALPH    ,B ,Q,19.40,19.40,18.15,18.20,18.20,18.45,9,880,16581.00,
532626,PONDY OXIDES,X ,Q,255.00,264.00,245.00,250.50,250.50,245.45,332,19601,5004338.00,
532627,JPPOWER     ,B ,Q,2.38,2.40,2.27,2.27,2.27,2.38,142,143463,327286.00,
532628,3I INFOTECH ,B ,Q,3.34,3.86,3.34,3.64,3.66,3.30,525,1200035,4351271.00,
532629,MCNALLYB    ,T ,Q,4.59,4.59,4.45,4.45,4.45,4.50,7,4600,20948.00,
532630,GOKALDAS    ,B ,Q,97.00,100.65,96.60,97.20,96.60,96.75,155,9626,946735.00,
532633,ALLSEC TECH ,T ,Q,309.95,314.00,308.00,314.00,314.00,305.05,5,1376,424879.00,
532636,IIFL        ,T ,Q,172.00,172.00,155.95,159.70,160.00,164.15,835,62848,10027899.00,
532637,MAN DRUGORG ,T ,Q,41.40,41.40,39.35,39.35,39.35,41.40,38,4008,158988.00,
532638,SHOPPER STOP,A ,Q,479.85,483.65,478.50,482.35,478.50,486.60,12,175,84264.00,
532641,NDL         ,B ,Q,42.00,43.90,40.20,42.85,43.30,41.80,181,2656,112526.00,
532644,JK CEMENT   ,A ,Q,1027.50,1035.00,1012.00,1026.25,1035.00,1024.40,111,1191,1220096.00,
532645,BEEYU OVERSE,XT,Q,0.29,0.29,0.29,0.29,0.29,0.28,1,1056,306.00,
532646,UNIPLY IND  ,B ,Q,59.50,59.55,53.95,55.05,55.15,56.75,678,129731,7292945.00,
532647,PROVOGUE IND,T ,Q,0.96,1.05,0.96,1.00,1.00,1.01,7,3000,2920.00,
532648,YES BANK    ,A ,Q,135.00,143.55,133.55,139.30,139.30,135.90,25369,5783013,805734589.00,
532649,NECTAR LIFE ,B ,Q,16.55,17.65,16.20,16.60,16.60,17.25,139,16620,277212.00,
532650,MSP STEEL   ,B ,Q,8.50,8.74,8.25,8.74,8.74,8.50,3,501,4183.00,
532651,SPL INDS    ,B ,Q,34.00,35.75,33.10,35.55,35.65,33.75,32,2063,71947.00,
532652,KARNATAKA BK,A ,Q,108.00,109.15,106.15,108.45,108.95,107.80,892,111633,12053189.00,
532654,MCLEOD RUSSE,B ,Q,27.70,28.05,25.10,25.10,25.10,27.85,1223,141997,3614461.00,
532656,FACOR ALLOYS,X ,Q,1.85,1.85,1.57,1.62,1.62,1.68,62,107511,176299.00,
532658,EON ELECT   ,B ,Q,33.90,34.05,33.00,33.40,33.30,34.15,25,1270,42265.00,
532659,IDFC        ,A ,Q,36.30,36.60,35.30,36.15,36.05,36.00,580,327602,11778930.00,
532660,VIVIMED LABS,B ,Q,19.00,19.70,18.10,19.15,19.30,19.40,289,92785,1761954.00,
532661,RANE MADRAS ,B ,Q,343.50,353.00,333.00,334.90,334.90,336.00,80,812,274487.00,
532662,HT MEDIA    ,B ,Q,29.95,29.95,28.20,28.60,28.80,28.85,49,7224,207814.00,
532663,SASKEN      ,B ,Q,713.65,720.85,709.00,717.00,718.15,714.80,49,434,310630.00,
532665,RAJVIR IND  ,T ,Q,12.70,12.71,12.70,12.71,12.71,13.21,2,300,3812.00,
532666,FCS SOFTWARE,B ,Q,0.23,0.23,0.21,0.21,0.21,0.22,21,55896,12025.00,
532667,SUZLONENERGY,A ,Q,4.70,4.92,4.22,4.78,4.78,4.68,23897,5639469,26037549.00,
532668,AURIONPRO SO,B ,Q,127.90,129.55,125.25,127.70,126.10,125.95,22,1357,172919.00,
532670,RENUKA SUGAR,B ,Q,9.95,10.00,9.73,9.81,9.81,10.02,147,78585,771759.00,
532673,KM SUGARMILL,B ,Q,7.70,8.08,7.70,7.81,7.95,7.80,20,8707,67846.00,
532678,BOMBAY RAYON,T ,Q,7.75,8.35,7.71,7.80,7.80,8.00,31,10681,85496.00,
532679,SORILINFRA  ,B ,Q,250.20,250.20,228.25,228.25,228.25,253.60,578,39651,9090405.00,
532683,AIAENGINEER ,A ,Q,1830.40,1839.15,1820.00,1836.10,1832.35,1830.25,56,172,314862.00,
532684,EVEREST KANT,B ,Q,25.15,25.50,24.80,25.15,25.50,25.15,100,7326,184528.00,
532686,KERNEX MICRO,T ,Q,27.30,27.75,26.10,27.50,27.50,26.80,14,6946,185722.00,
532687,REPRO INDIA ,B ,Q,539.00,545.50,492.35,504.05,504.05,531.75,140,1725,891393.00,
532689,PVR LTD     ,A ,Q,1767.35,1767.35,1723.05,1735.65,1735.65,1760.70,433,25825,44987097.00,
532692,RADHA MADHAV,B ,Q,8.51,9.35,8.48,9.34,9.34,8.92,201,65117,573311.00,
